163,cmip-man,# CMIP Manager
164,cmip-agent,# CMIP Agent
165,xns-courier,# Xerox
166,s-net,# Sirius Systems
167,namp,# NAMP
168,rsvd,# RSVD
169,send,# SEND
170,print-srv,# Network PostScript
171,multiplex,# Network Innovations Multiplex
172,cl/1,# Network Innovations CL/1
173,xyplex-mux,# Xyplex
174,mailq,# MAILQ
175,vmnet,# VMNET
176,genrad-mux,# GENRAD-MUX
177,xdmcp,# X Display Manager Control Protocol
178,nextstep,# NextStep Window Server
179,bgp,# Border Gateway Protocol
180,ris,# Intergraph
181,unify,# Unify
182,audit,# Unisys Audit SITP
183,ocbinder,# OCBinder
184,ocserver,# OCServer
185,remote-kis,# Remote-KIS
186,kis,# KIS Protocol
187,aci,# Application Communication Interface
188,mumps,# Plus Five's MUMPS
189,qft,# Queued File Transport
190,gacp,# Gateway Access Control Protocol
191,prospero,# Prospero Directory Service
192,osu-nms,# OSU Network Monitoring System
193,srmp,# Spider Remote Monitoring Protocol
194,irc,# Internet Relay Chat Protocol
195,dn6-nlm-aud,# DNSIX Network Level Module Audit
196,dn6-smm-red,# DNSIX Session Mgt Module Audit Redir
197,dls,# Directory Location Service
198,dls-mon,# Directory Location Service Monitor
199,smux,# SMUX
200,src,# IBM System Resource Controller
201,at-rtmp,# AppleTalk Routing Maintenance
202,at-nbp,# AppleTalk Name Binding
203,at-3,# AppleTalk Unused
204,at-echo,# AppleTalk Echo
205,at-5,# AppleTalk Unused
206,at-zis,# AppleTalk Zone Information
207,at-7,# AppleTalk Unused
208,at-8,# AppleTalk Unused
209,qmtp,# The Quick Mail Transfer Protocol
210,z39.50,# ANSI Z39.50
211,914c/g,# Texas Instruments 914C/G Terminal
212,anet,# ATEXSSTR
213,ipx,# IPX
214,vmpwscs,# VM PWSCS
215,softpc,# Insignia Solutions
216,CAIlic,# Computer Associates Int'l License Server
217,dbase,# dBASE Unix
218,mpp,# Netix Message Posting Protocol
219,uarps,# Unisys ARPs
220,imap3,# Interactive Mail Access Protocol v3
221,fln-spx,# Berkeley rlogind with SPX auth
222,rsh-spx,# Berkeley rshd with SPX auth
223,cdc,# Certificate Distribution Center
224,masqdialer,# masqdialer
242,direct,# Direct
243,sur-meas,# Survey Measurement
244,inbusiness,# inbusiness
245,link,# LINK
246,dsp3270,# Display Systems Protocol
247,subntbcst_tftp,# SUBNTBCST_TFTP
248,bhfhs,# bhfhs
256,rap,# RAP
257,set,# Secure Electronic Transaction
258,yak-chat,# Yak Winsock Personal Chat
259,esro-gen,# Efficient Short Remote Operations
260,openport,# Openport
261,nsiiops,# IIOP Name Service over TLS/SSL
262,arcisdms,# Arcisdms
263,hdap,# HDAP
264,bgmp,# BGMP
265,x-bone-ctl,# X-Bone CTL
266,sst,# SCSI on ST
267,td-service,# Tobit David Service Layer
268,td-replica,# Tobit David Replica
280,http-mgmt,# http-mgmt
281,personal-link,# Personal Link
282,cableport-ax,# Cable Port A/X
283,rescap,# rescap
284,corerjd,# corerjd
286,fxp-1,# FXP-1
287,k-block,# K-BLOCK
308,novastorbakcup,# Novastor Backup
309,entrusttime,# EntrustTime
310,bhmds,# bhmds
311,asip-webadmin,# AppleShare IP WebAdmin
312,vslmp,# VSLMP
313,magenta-logic,# Magenta Logic
314,opalis-robot,# Opalis Robot
315,dpsi,# DPSI
316,decauth,# decAuth
317,zannet,# Zannet
318,pkix-timestamp,# PKIX TimeStamp
319,ptp-event,# PTP Event
320,ptp-general,# PTP General
321,pip,# PIP
322,rtsps,# RTSPS
333,texar,# Texar Security Port
344,pdap,# Prospero Data Access Protocol
345,pawserv,# Perf Analysis Workbench
346,zserv,# Zebra server
347,fatserv,# Fatmen Server
348,csi-sgwp,# Cabletron Management Protocol
349,mftp,# mftp
350,matip-type-a,# MATIP Type A
351,bhoetty,# bhoetty (added 5/21/97)
351,matip-type-b,# MATIP Type B
352,bhoedap4,# bhoedap4 (added 5/21/97)
352,dtag-ste-sb,# DTAG (assigned long ago)
353,ndsauth,# NDSAUTH
354,bh611,# bh611
355,datex-asn,# DATEX-ASN
356,cloanto-net-1,# Cloanto Net 1
357,bhevent,# bhevent
358,shrinkwrap,# Shrinkwrap
359,nsrmp,# Network Security Risk Management Protocol
360,scoi2odialog,# scoi2odialog
361,semantix,# Semantix
362,srssend,# SRS Send
363,rsvp_tunnel,# RSVP Tunnel
364,aurora-cmgr,# Aurora CMGR
365,dtk,# DTK
366,odmr,# ODMR
367,mortgageware,# MortgageWare
368,qbikgdp,# QbikGDP
369,rpc2portmap,# rpc2portmap
370,codaauth2,# codaauth2
371,clearcase,# Clearcase
372,ulistproc,# ListProcessor
373,legent-1,# Legent Corporation
374,legent-2,# Legent Corporation
375,hassle,# Hassle
376,nip,# Amiga Envoy Network Inquiry Proto
377,tnETOS,# NEC Corporation
378,dsETOS,# NEC Corporation
379,is99c,# TIA/EIA/IS-99 modem client
380,is99s,# TIA/EIA/IS-99 modem server
381,hp-collector,# hp performance data collector
382,hp-managed-node,# hp performance data managed node
383,hp-alarm-mgr,# hp performance data alarm manager
384,arns,# A Remote Network Server System
385,ibm-app,# IBM Application
386,asa,# ASA Message Router Object Def.
387,aurp,# Appletalk Update-Based Routing Pro.
388,unidata-ldm,# Unidata LDM
389,ldap,# Lightweight Directory Access Protocol
390,uis,# UIS
391,synotics-relay,# SynOptics SNMP Relay Port
392,synotics-broker,# SynOptics Port Broker Port
393,meta5,# Meta5
394,embl-ndt,# EMBL Nucleic Data Transfer
395,netcp,# NETscout Control Protocol
396,netware-ip,# Novell Netware over IP
397,mptn,# Multi Protocol Trans. Net.
398,kryptolan,# Kryptolan
399,iso-tsap-c2,# ISO Transport Class 2 Non-Control over TCP
400,work-sol,# Workstation Solutions
401,ups,# Uninterruptible Power Supply
402,genie,# Genie Protocol
403,decap,# decap
404,nced,# nced
405,ncld,# ncld
406,imsp,# Interactive Mail Support Protocol
407,timbuktu,# Timbuktu
408,prm-sm,# Prospero Resource Manager Sys. Man.
409,prm-nm,# Prospero Resource Manager Node Man.
410,decladebug,# DECLadebug Remote Debug Protocol
411,rmt,# Remote MT Protocol
412,synoptics-trap,# Trap Convention Port
413,smsp,# Storage Management Services Protocol
414,infoseek,# InfoSeek
415,bnet,# BNet
416,silverplatter,# Silverplatter
417,onmux,# Onmux
418,hyper-g,# Hyper-G
419,ariel1,# Ariel 1
420,smpte,# SMPTE
421,ariel2,# Ariel 2
422,ariel3,# Ariel 3
423,opc-job-start,# IBM Operations Planning and Control Start
424,opc-job-track,# IBM Operations Planning and Control Track
425,icad-el,# ICAD
426,smartsdp,# smartsdp
427,svrloc,# Server Location
428,ocs_cmu,# OCS_CMU
429,ocs_amu,# OCS_AMU
430,utmpsd,# UTMPSD
431,utmpcd,# UTMPCD
432,iasd,# IASD
433,nnsp,# NNSP
434,mobileip-agent,# MobileIP-Agent
435,mobilip-mn,# MobilIP-MN
436,dna-cml,# DNA-CML
437,comscm,# comscm
438,dsfgw,# dsfgw
439,dasp,# dasp Thomas Obermair
440,sgcp,# sgcp
441,decvms-sysmgt,# decvms-sysmgt
442,cvc_hostd,# cvc_hostd
443,https,# http protocol over TLS/SSL
444,snpp,# Simple Network Paging Protocol
445,microsoft-ds,# Microsoft-DS
446,ddm-rdb,# DDM-RDB
447,ddm-dfm,# DDM-RFM
448,ddm-ssl,# DDM-SSL
449,as-servermap,# AS Server Mapper
450,tserver,# Computer Supported Telecomunication Applications
451,sfs-smp-net,# Cray Network Semaphore server
452,sfs-config,# Cray SFS config server
453,creativeserver,# CreativeServer
454,contentserver,# ContentServer
455,creativepartnr,# CreativePartnr
456,macon-tcp,# macon-tcp
457,scohelp,# scohelp
458,appleqtc,# apple quick time
459,ampr-rcmd,# ampr-rcmd
460,skronk,# skronk
461,datasurfsrv,# DataRampSrv
462,datasurfsrvsec,# DataRampSrvSec
463,alpes,# alpes
464,kpasswd,# kpasswd
465,urd,# URL Rendesvous Directory for SSM
466,digital-vrc,# digital-vrc
467,mylex-mapd,# mylex-mapd
468,photuris,# proturis
469,rcp,# Radio Control Protocol
470,scx-proxy,# scx-proxy
471,mondex,# Mondex
472,ljk-login,# ljk-login
473,hybrid-pop,# hybrid-pop
474,tn-tl-w1,# tn-tl-w1
475,tcpnethaspsrv,# tcpnethaspsrv
476,tn-tl-fd1,# tn-tl-fd1
477,ss7ns,# ss7ns
478,spsc,# spsc
479,iafserver,# iafserver
480,iafdbase,# iafdbase
481,ph,# Ph service
482,bgs-nsi,# bgs-nsi
483,ulpnet,# ulpnet
484,integra-sme,# Integra Software Management Environment
485,powerburst,# Air Soft Power Burst
486,avian,# avian
487,saft,# saft Simple Asynchronous File Transfer
488,gss-http,# gss-http
489,nest-protocol,# nest-protocol
490,micom-pfs,# micom-pfs
491,go-login,# go-login
492,ticf-1,# Transport Independent Convergence for FNA
493,ticf-2,# Transport Independent Convergence for FNA
494,pov-ray,# POV-Ray
495,intecourier,# intecourier
496,pim-rp-disc,# PIM-RP-DISC
497,dantz,# dantz
498,siam,# siam
499,iso-ill,# ISO ILL Protocol
500,isakmp,# isakmp
501,stmf,# STMF
502,asa-appl-proto,# asa-appl-proto
503,intrinsa,# Intrinsa
504,citadel,# citadel
505,mailbox-lm,# mailbox-lm
506,ohimsrv,# ohimsrv
507,crs,# crs
508,xvttp,# xvttp
509,snare,# snare
510,fcp,# FirstClass Protocol
511,passgo,# PassGo
512,exec,# remote process execution;
513,login,# remote login a la telnet;
514,shell,# cmd
515,printer,# spooler
516,videotex,# videotex
517,talk,# like tenex link but across
518,ntalk,#
519,utime,# unixtime
520,efs,# extended file name server
521,ripng,# ripng
522,ulp,# ULP
523,ibm-db2,# IBM-DB2
524,ncp,# NCP
525,timed,# timeserver
526,tempo,# newdate
527,stx,# Stock IXChange
528,custix,# Customer IXChange
529,irc-serv,# IRC-SERV
530,courier,# rpc
531,conference,# chat
532,netnews,# readnews
533,netwall,# for emergency broadcasts
534,mm-admin,# MegaMedia Admin
535,iiop,# iiop
536,opalis-rdv,# opalis-rdv
537,nmsp,# Networked Media Streaming Protocol
538,gdomap,# gdomap
539,apertus-ldp,# Apertus Technologies Load Determination
540,uucp,# uucpd
541,uucp-rlogin,# uucp-rlogin
542,commerce,# commerce
543,klogin,#
544,kshell,# krcmd
545,appleqtcsrvr,# appleqtcsrvr
546,dhcpv6-client,# DHCPv6 Client
547,dhcpv6-server,# DHCPv6 Server
548,afpovertcp,# AFP over TCP
549,idfp,# IDFP
550,new-rwho,# new-who
551,cybercash,# cybercash
552,devshr-nts,# DeviceShare
553,pirp,# pirp
554,rtsp,# Real Time Stream Control Protocol
555,dsf,#
556,remotefs,# rfs server
557,openvms-sysipc,# openvms-sysipc
558,sdnskmp,# SDNSKMP
559,teedtap,# TEEDTAP
560,rmonitor,# rmonitord
561,monitor,#
562,chshell,# chcmd
563,nntps,# nntp protocol over TLS/SSL (was snntp)
564,9pfs,# plan 9 file service
565,whoami,# whoami
566,streettalk,# streettalk
567,banyan-rpc,# banyan-rpc
568,ms-shuttle,# microsoft shuttle
569,ms-rome,# microsoft rome
570,meter,# demon
571,meter,# udemon
572,sonar,# sonar
573,banyan-vip,# banyan-vip
574,ftp-agent,# FTP Software Agent System
575,vemmi,# VEMMI
576,ipcd,# ipcd
577,vnas,# vnas
578,ipdd,# ipdd
579,decbsrv,# decbsrv
580,sntp-heartbeat,# SNTP HEARTBEAT
581,bdp,# Bundle Discovery Protocol
582,scc-security,# SCC Security
583,philips-vc,# Philips Video-Conferencing
584,keyserver,# Key Server
585,imap4-ssl,# IMAP4+SSL (use 993 instead)
586,password-chg,# Password Change
587,submission,# Submission
588,cal,# CAL
589,eyelink,# EyeLink
590,tns-cml,# TNS CML
591,http-alt,# FileMaker Inc. - HTTP Alternate (see Port 80)
592,eudora-set,# Eudora Set
593,http-rpc-epmap,# HTTP RPC Ep Map
594,tpip,# TPIP
595,cab-protocol,# CAB Protocol
596,smsd,# SMSD
597,ptcnameservice,# PTC Name Service
598,sco-websrvrmg3,# SCO Web Server Manager 3
599,acp,# Aeolon Core Protocol
600,ipcserver,# Sun IPC server
601,syslog-conn,# Reliable Syslog Service
602,xmlrpc-beep,# XML-RPC over BEEP
603,idxp,# IDXP
604,tunnel,# TUNNEL
605,soap-beep,# SOAP over BEEP
606,urm,# Cray Unified Resource Manager
607,nqs,# nqs
608,sift-uft,# Sender-Initiated/Unsolicited File Transfer
609,npmp-trap,# npmp-trap
610,npmp-local,# npmp-local
611,npmp-gui,# npmp-gui
612,hmmp-ind,# HMMP Indication
613,hmmp-op,# HMMP Operation
614,sshell,# SSLshell
615,sco-inetmgr,# Internet Configuration Manager
616,sco-sysmgr,# SCO System Administration Server
617,sco-dtmgr,# SCO Desktop Administration Server
618,dei-icda,# DEI-ICDA
619,compaq-evm,# Compaq EVM
620,sco-websrvrmgr,# SCO WebServer Manager
621,escp-ip,# ESCP
622,collaborator,# Collaborator
623,asf-rmcp,# ASF Remote Management and Control Protocol
624,cryptoadmin,# Crypto Admin
625,dec_dlm,# DEC DLM
626,asia,# ASIA
627,passgo-tivoli,# PassGo Tivoli
628,qmqp,# QMQP
629,3com-amp3,# 3Com AMP3
630,rda,# RDA
631,ipp,# IPP (Internet Printing Protocol)
632,bmpp,# bmpp
633,servstat,# Service Status update (Sterling Software)
634,ginad,# ginad
635,rlzdbase,# RLZ DBase
636,ldaps,# ldap protocol over TLS/SSL (was sldap)
637,lanserver,# lanserver
638,mcns-sec,# mcns-sec
639,msdp,# MSDP
640,entrust-sps,# entrust-sps
641,repcmd,# repcmd
642,esro-emsdp,# ESRO-EMSDP V1.3
643,sanity,# SANity
644,dwr,# dwr
645,pssc,# PSSC
646,ldp,# LDP
647,dhcp-failover,# DHCP Failover
648,rrp,# Registry Registrar Protocol (RRP)
649,cadview-3d,# Cadview-3d - streaming 3d models over the internet
650,obex,# OBEX
651,ieee-mms,# IEEE MMS
652,hello-port,# HELLO_PORT
653,repscmd,# RepCmd
654,aodv,# AODV
655,tinc,# TINC
656,spmp,# SPMP
657,rmc,# RMC
658,tenfold,# TenFold
660,mac-srvr-admin,# MacOS Server Admin
661,hap,# HAP
662,pftp,# PFTP
663,purenoise,# PureNoise
664,asf-secure-rmcp,# ASF Secure Remote Management and Control Protocol
665,sun-dr,# Sun DR
666,mdqs,doom,# ,
667,disclose,# campaign contribution disclosures - SDR Technologies
668,mecomm,# MeComm
669,meregister,# MeRegister
670,vacdsm-sws,# VACDSM-SWS
671,vacdsm-app,# VACDSM-APP
672,vpps-qua,# VPPS-QUA
673,cimplex,# CIMPLEX
674,acap,# ACAP
675,dctp,# DCTP
676,vpps-via,# VPPS Via
677,vpp,# Virtual Presence Protocol
678,ggf-ncp,# GNU Generation Foundation NCP
679,mrm,# MRM
680,entrust-aaas,# entrust-aaas
681,entrust-aams,# entrust-aams
682,xfr,# XFR
683,corba-iiop,# CORBA IIOP
684,corba-iiop-ssl,# CORBA IIOP SSL
685,mdc-portmapper,# MDC Port Mapper
686,hcp-wismar,# Hardware Control Protocol Wismar
687,asipregistry,# asipregistry
688,realm-rusd,# REALM-RUSD
689,nmap,# NMAP
690,vatp,# VATP
691,msexch-routing,# MS Exchange Routing
692,hyperwave-isp,# Hyperwave-ISP
693,connendp,# connendp
694,ha-cluster,# ha-cluster
695,ieee-mms-ssl,# IEEE-MMS-SSL
696,rushd,# RUSHD
697,uuidgen,# UUIDGEN
698,olsr,# OLSR
699,accessnetwork,# Access Network
700,epp,# Extensible Provisioning Protocol
701,lmp,# Link Management Protocol (LMP)
702,iris-beep,# IRIS over BEEP
704,elcsd,# errlog copy/server daemon
705,agentx,# AgentX
706,silc,# SILC
707,borland-dsj,# Borland DSJ
709,entrust-kmsh,# Entrust Key Management Service Handler
710,entrust-ash,# Entrust Administration Service Handler
711,cisco-tdp,# Cisco TDP
712,tbrpf,# TBRPF
729,netviewdm1,# IBM NetView DM/6000 Server/Client
730,netviewdm2,# IBM NetView DM/6000 send
731,netviewdm3,# IBM NetView DM/6000 receive
741,netgw,# netGW
742,netrcs,# Network based Rev. Cont. Sys.
744,flexlm,# Flexible License Manager
747,fujitsu-dev,# Fujitsu Device Control
748,ris-cm,# Russell Info Sci Calendar Manager
749,kerberos-adm,# kerberos administration
750,rfile,#
751,pump,#
752,qrh,#
753,rrh,#
754,tell,# send
758,nlogin,#
759,con,#
760,ns,#
761,rxe,#
762,quotad,#
763,cycleserv,#
764,omserv,#
765,webster,#
767,phonebook,# phone
769,vid,#
770,cadlock,#
771,rtip,#
772,cycleserv2,#
773,submit,#
774,rpasswd,#
775,entomb,#
776,wpages,#
777,multiling-http,# Multiling HTTP
780,wpgs,#
800,mdbs_daemon,#
801,device,#
810,fcp-udp,# FCP
828,itm-mcell-s,# itm-mcell-s
829,pkix-3-ca-ra,# PKIX-3 CA/RA
830,netconf-ssh,# NETCONF over SSH
831,netconf-beep,# NETCONF over BEEP
832,netconfsoaphttp,# NETCONF for SOAP over HTTPS
833,netconfsoapbeep,# NETCONF for SOAP over BEEP
847,dhcp-failover2,# dhcp-failover 2
848,gdoi,# GDOI
860,iscsi,# iSCSI
861,owamp-control,# OWAMP-Control
873,rsync,# rsync
886,iclcnet-locate,# ICL coNETion locate server
887,iclcnet_svinfo,# ICL coNETion server info
888,accessbuilder,# AccessBuilder
888,cddbp,# CD Database Protocol
900,omginitialrefs,# OMG Initial Refs
901,smpnameres,# SMPNAMERES
902,ideafarm-chat,# IDEAFARM-CHAT
903,ideafarm-catch,# IDEAFARM-CATCH
910,kink,# Kerberized Internet Negotiation of Keys (KINK)
911,xact-backup,# xact-backup
912,apex-mesh,# APEX relay-relay service
913,apex-edge,# APEX endpoint-relay service
989,ftps-data,# ftp protocol data over TLS/SSL
990,ftps,# ftp protocol control over TLS/SSL
991,nas,# Netnews Administration System
992,telnets,# telnet protocol over TLS/SSL
993,imaps,# imap4 protocol over TLS/SSL
994,ircs,# irc protocol over TLS/SSL
995,pop3s,# pop3 protocol over TLS/SSL (was spop3)
996,vsinet,# vsinet
997,maitrd,#
998,busboy,#
999,garcon,# puprouter,,
1000,cadlock2,#
1010,surf,# surf
1021,exp1,# RFC3692-style Experiment 1 (*) [RFC4727]
1022,exp2,# RFC3692-style Experiment 2 (*) [RFC4727]
1900,ssdp,# SSDP
8080,http-alt,# HTTP Alternate (see port 80)
8888,ddi-tcp-1,# NewsEDGE server TCP (TCP 1)
